Unnamed: 0	description	S210421121673	S210421121674	S210421121675	S210421121676	S210421121682	S210421121683	S210421121684	S210421121694	S210421121695	S210421121696	S210421121697	NC	STD-NC	Total
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	44819.46586977736	63786.10820171463	7740.468600620263	41891.87219134365	23711.79680687803	25741.487630890213	52183.20794687664	11766.08524185964	34639.0775476968	9484.948219946402	7781.2671564057055			
GLUCARDEG-PWY	D-glucarate degradation I	5025.79094085147	1177.4054184219976	1063.1097457217777	6107.10873953235	3306.826361926672	1711.1009949739985	1485.1507058292789	2908.599824421152	3654.25927369278	1533.557272293116	846.4949019302272			
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	8312.03758700496	1177.4054184219976	1166.4014214307276	3104.962482982997	3268.2803389656424	1896.2785867421933	1444.1086348008257	2017.4720269064017	4103.360333812643	1638.2141430493923	960.334301356619			
GLUCONEO-PWY	gluconeogenesis I	137623.68537415954	259239.0263623921	112939.10773468824	228475.2823392168	58078.0317566073	55889.68657511345	125294.47203657638	17179.933622170392	81854.12193468829	35384.655834804544	15441.414934641123			
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	5382.589475296895	1150.7423219889906	21663.030974664813	32846.687310180176	3022.423393246765	1237.050004544608	19440.26539183939	923.5378434460468	5542.129073411427	4293.661784951957	791.4078826757158			
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	91062.59764661358	126948.8840690317	50344.771525564334	108738.21774045556	17356.48751210986	13864.856334456965	43627.86300128595	10195.181657187994	22623.0415511678	10315.034559515449	5396.338151906484			
GLUTORN-PWY	L-ornithine biosynthesis	89755.80760152095	176696.78563346807	70338.47050839862	143744.47984509353	39844.102963057216	39683.72602660682	65156.28821012294	15141.463124459418	48171.6561429205	20315.73754598603	9155.726977746428			
GLYCOCAT-PWY	glycogen degradation I (bacterial)	140421.21348912985	203604.4674781543	104406.56445141234	200810.82887251035	65581.40194846783	62032.85067102122	121598.13218429532	21710.902365327616	92298.58148240694	36061.51748205512	16376.70894235574			
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	101698.41422467424	92250.9080816528	25321.23674555561	96564.61091611972	59603.42458683288	65657.40320440366	97568.89770339469	26802.27385493296	84073.09177359825	29587.00354549102	16171.77131211427			
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	574.236503402531	1000.6046655492372	1330.608289177609	8150.8539380845505	77.9785491015803	305.7714517018103	1129.2109949948845	742.9010948282669	528.0598704318434	615.8582030687144	683.9326533644704			
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	141284.6929347695	252503.1607290045	107627.3162414644	212674.65220990937	57766.222581941576	59322.99438922214	126481.1523223052	23258.8366508334	84557.47745974526	34002.89248220009	16564.532718258673			
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	50689.48025493095	95063.38498615478	12807.334631838306	51679.42268335367	21890.688798151023	23520.55198105995	27633.54819596469	10776.095152913218	31428.74877965527	9906.738491737491	7125.033960494136			
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	1126.562440236182	1340.6589400426794	2368.7901344079296	497.4122326162455	154.40235409408913	681.5738621231832	401.6387041959023	4287.690723132752	1244.243031484966	1665.4008959295077	1372.6529318186203			
GLYOXYLATE-BYPASS	glyoxylate cycle	614.1099543921825	1008.096016084074	1395.4905578729963	10737.284403523428	81.37597802579467	359.3314645398274	1196.434560658952	2180.1635275793624	583.9678987942892	748.9019033315277	808.3442638914408			
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	2800.061387522708	2090.539057563262	355.79409330371163	3567.322503571031	3994.09160430818	5033.910447918818	2970.873410715036	1450.0212790225637	12402.585410883314	1925.5699697735288	1568.8459126010168			
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	154.00982443671205	157.326256444631	371.27858596559406	38.24399473752902	13.96050400661954	74.40757009345616	55.55530140686487	169.60776398292214	91.65988661708312	103.99526422593854	142.393869050044			
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	3560.3984028596856	42273.89690586921	3890.6075967907673	25254.81840103448	1570.4605116260143	2153.0172255624097	21337.33485084224	1516.9655494002373	9227.339871175183	1467.9532472346923	1170.55421496207			
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	13431.609681253423	83559.2346071171	4017.546273954987	29076.85944738261	3376.2673536964685	9385.46020150278	25830.175147304657	5823.515093009373	15663.865079721629	1592.2711248621029	2875.3343753354447			
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	21150.637139523416	30429.014406654987	7506.221993093365	12553.558395034734	14682.205261443576	21525.78385531138	16846.006223077537	12181.889761081433	24103.826611178705	10526.52925664007	7598.099857669966			
HISDEG-PWY	L-histidine degradation I	46012.74495411775	139342.05834826516	37181.79204255711	83500.93023839984	10675.009818813276	4872.275049241295	36957.79174527103	1933.4674741760343	13495.02366000439	6274.957036964393	1435.6295454801002			
HISTSYN-PWY	L-histidine biosynthesis	116269.53899008768	205071.4734589588	85082.25073564469	162305.8098706826	49530.25740271674	47434.55442070167	82810.8378448221	19552.09955878893	62760.44683786984	28790.1926631874	12559.030279644516			
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	53833.90355430454	54725.80823621932	47224.3002429772	87244.74578940633	20660.36481409972	27450.207870303795	51135.18024595756	11945.552226840022	33126.125869071046	17797.718101450537	10826.05119406095			
HSERMETANA-PWY	L-methionine biosynthesis III	59094.04003371941	58891.02909277496	52733.697028798095	94380.35371343966	21865.90141549283	29620.470523401826	54762.73638327754	9526.455228759804	34971.03724769651	19790.537373959163	12573.840653414243			
ILEUDEG-PWY	L-isoleucine degradation I	1.1778597956829846	6.658180552143692	1.388677894286413	9.498125709243212	2.1201080113333006	9.40593540627404	2.2611863540855306	28.477050190479705	6.132359271067665	5.750915544287225	8.188680150136273			
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	144487.97895661546	237770.19481973824	103188.51166984368	200822.3208518592	67322.48016379	62331.60969038372	102442.60013772277	26007.8695165484	86904.98121217839	37285.99547486158	16853.492257574504			
